Species	Kingdom	Class	Size (Mb)	GC%	Number of genes	Number of proteins	Publication year	Assembly status
Emiliania huxleyi CCMP1516	Protists	Other Protists	167.676	64.5	38549	38554	2013	Scaffold
Arabidopsis thaliana	Plants	Land Plants	119.669	36.0529	38311	48265	2001	Chromosome
Glycine max	Plants	Land Plants	979.046	35.1153	59847	71219	2010	Chromosome
Medicago truncatula	Plants	Land Plants	412.924	34.047	37603	41939	2011	Chromosome
Solanum lycopersicum	Plants	Land Plants	828.3489999999998	35.6991	31200	37660	2010	Chromosome
Hordeum vulgare	Plants	Land Plants	4006.12	44.3	-	-	2019	Scaffold
Oryza sativa Japonica Group	Plants	Land Plants	374.423	43.5769	35219	42580	2015	Chromosome
Triticum aestivum	Plants	Land Plants	14547.3	46.0544	-	-	2018	Chromosome
Saccharomyces cerevisiae S288C	Fungi	Ascomycetes	12.1571	38.1556	6445	6002	1999	Complete Genome
Zea mays	Plants	Land Plants	2135.08	46.9109	49296	58411	2010	Chromosome
Pneumocystis carinii B80	Fungi	Ascomycetes	7.661460000000001	27.8	3695	3646	2015	Contig
Schizosaccharomyces pombe	Fungi	Ascomycetes	12.5913	36.0381	6974	5132	2002	Chromosome
Aspergillus nidulans FGSC A4	Fungi	Ascomycetes	30.276	50.2721	9586	9556	2003	Scaffold
Aspergillus fumigatus Af293	Fungi	Ascomycetes	29.385	49.8105	19832	19260	2005	Chromosome
Phanerochaete chrysosporium	Fungi	Basidiomycetes	39.2051	56.5	-	-	2016	Contig
Candida albicans SC5314	Fungi	Ascomycetes	14.2827	33.4827	6263	6030	2016	Chromosome
Neurospora crassa OR74A	Fungi	Ascomycetes	41.1024	48.2319	10455	10812	2003	Chromosome
Leishmania major strain Friedlin	Protists	Kinetoplasts	32.8551	59.7114	9388	8316	1998	Complete Genome
Trypanosoma brucei gambiense DAL972	Protists	Kinetoplasts	22.1481	47.1525	9930	9822	2009	Chromosome
Trypanosoma cruzi	Protists	Kinetoplasts	89.9375	51.7	23696	19607	2005	Scaffold
Giardia lamblia ATCC 50803	Protists	Other Protists	11.2136	49.2	6583	6502	2003	Scaffold
Entamoeba histolytica HM-1:IMSS	Protists	Other Protists	20.8354	24.3	8268	8163	2004	Scaffold
Eimeria tenella	Protists	Apicomplexans	51.8944	51.0796	8660	8609	2013	Scaffold
Cryptosporidium parvum Iowa II	Protists	Apicomplexans	9.10232	30.2256	7774	7610	2004	Chromosome
Toxoplasma gondii ME49	Protists	Apicomplexans	65.6681	52.2873	8505	8318	2008	Chromosome
Plasmodium berghei ANKA	Protists	Apicomplexans	18.5607	22.3037	5121	4906	2014	Chromosome
Plasmodium chabaudi chabaudi	Protists	Apicomplexans	18.8678	23.6106	5314	5158	2014	Chromosome
Plasmodium falciparum 3D7	Protists	Apicomplexans	23.3269	19.3315	5670	5392	1998	Complete Genome
Plasmodium knowlesi strain H	Protists	Apicomplexans	23.4622	39.1684	5157	5101	2008	Chromosome
Plasmodium vivax	Protists	Apicomplexans	27.0137	42.2825	5482	5392	2005	Chromosome
Babesia bovis	Protists	Apicomplexans	8.17971	41.6127	3781	3706	2007	Chromosome
Theileria annulata	Protists	Apicomplexans	8.35812	32.5492	3796	3795	2005	Chromosome
Theileria parva	Protists	Apicomplexans	8.347610000000001	34.0411	4141	4061	2005	Chromosome
Encephalitozoon cuniculi GB-M1	Fungi	Other Fungi	2.49752	47.3005	2029	1996	2001	Chromosome
Caenorhabditis briggsae	Animals	Roundworms	108.384	37.6966	22736	21959	2002	Chromosome
Caenorhabditis elegans	Animals	Roundworms	100.286	35.4317	46857	28420	2001	Complete Genome
Brugia malayi	Animals	Roundworms	93.6591	31.499	11441	11472	2002	Scaffold
Aedes aegypti	Animals	Insects	1278.73	38.1667	19339	28317	2017	Chromosome
Aedes albopictus	Animals	Insects	2247.31	40.3999	38274	42912	2016	Contig
Anopheles gambiae str. PEST	Animals	Insects	265.027	44.5151	13191	14102	2002	Chromosome
Drosophila melanogaster	Animals	Insects	143.726	42.0803	17702	30493	2002	Chromosome
Danio rerio	Animals	Fishes	1679.2	36.6374	46998	57100	2005	Chromosome
Apis mellifera	Animals	Insects	225.251	32.6352	12337	23471	2018	Chromosome
Ciona intestinalis	Animals	Other Animals	115.227	36.0239	16137	21099	2011	Chromosome
Homo sapiens	Animals	Mammals	3257.32	41.465	60679	119294	2002	Chromosome
Mus musculus	Animals	Mammals	2818.97	41.951	48701	78443	2004	Chromosome
Aspergillus terreus NIH2624	Fungi	Ascomycetes	29.364	52.8	10551	10401	2005	Scaffold
Glossina morsitans morsitans	Animals	Insects	363.107	34.1	-	-	2014	Contig
